"";"mun";"year";"age_group";"pop";"FXET"
"476";"110045";2019;"From 80 years or more";350;"17"
"477";"110050";2019;"From 0 to 4 years";608;"01"
"478";"110050";2019;"From 10 to 14 years";583;"03"
"479";"110050";2019;"From 15 to 19 years";582;"04"
"480";"110050";2019;"From 20 to 24 years";637;"05"
"481";"110050";2019;"From 25 to 29 years";691;"06"
"482";"110050";2019;"From 30 to 34 years";616;"07"
"483";"110050";2019;"From 35 to 39 years";632;"08"
"484";"110050";2019;"From 40 to 44 years";667;"09"
"485";"110050";2019;"From 45 to 49 years";647;"10"
"486";"110050";2019;"From 5 to 9 years";599;"02"
"487";"110050";2019;"From 50 to 54 years";599;"11"
"488";"110050";2019;"From 55 to 59 years";524;"12"
"489";"110050";2019;"From 60 to 64 years";393;"13"
"490";"110050";2019;"From 65 to 69 years";289;"14"
"491";"110050";2019;"From 70 to 74 years";203;"15"
"492";"110050";2019;"From 75 to 79 years";140;"16"
"493";"110050";2019;"From 80 years or more";128;"17"
"494";"110060";2019;"From 0 to 4 years";540;"01"
"495";"110060";2019;"From 10 to 14 years";476;"03"
"496";"110060";2019;"From 15 to 19 years";522;"04"
"497";"110060";2019;"From 20 to 24 years";520;"05"
"498";"110060";2019;"From 25 to 29 years";486;"06"
"499";"110060";2019;"From 30 to 34 years";456;"07"
"500";"110060";2019;"From 35 to 39 years";476;"08"
"501";"110060";2019;"From 40 to 44 years";435;"09"
"502";"110060";2019;"From 45 to 49 years";400;"10"
"503";"110060";2019;"From 5 to 9 years";491;"02"
